Full Name,First Name,Last Name,Country,ID,Source,Team_2009,Team_2010,Team_2011,Team_2012,Team_2013,Team_2014,Team_2015,Team_2016,Team_2017,Team_2018,Team_2019
Anthony GESLIN,Anthony,GESLIN,FRA,FRA0098,"Tour de France, 2010",FRANÇAISE DES JEUX,FDJ,,,,,,,,,
Nikolay TRUSOV,Nikolay,TRUSOV,RUS,RUS0042,"Tour de France, 2009",TEAM KATUSHA,,,,,,,,,,
Staf SCHEIRLINCKX,Staf,SCHEIRLINCKX,BEL,BEL0063,"Tour de France, 2009",SILENCE-LOTTO,,,,,,,,,,
Stuart O'GRADY,Stuart,O'GRADY,AUS,AUS0044,"Tour de France, 2013",TEAM SAXO BANK,TEAM SAXO BANK,LEOPARD TREK,ORICA GreenEDGE,ORICA GreenEDGE,,,,,,
Lloyd MONDORY,Lloyd,MONDORY,FRA,FRA0099,"Vuelta a España, 2014",AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,,,,,
Bert GRABSCH,Bert,GRABSCH,GER,GER0046,"Vuelta a España, 2011",TEAM COLUMBIA - HTC,TEAM HTC - COLUMBIA,HTC-HIGHROAD,OMEGA PHARMA-QUICKSTEP,,,,,,,
Stéphane AUGE,Stéphane,AUGE,FRA,FRA0100,"Tour de France, 2010","COFIDIS, LE CREDIT EN LIGNE","COFIDIS, LE CREDIT EN LIGNE",,,,,,,,,
Gregory RAST,Gregory,RAST,SUI,SUI0022,"Vuelta a España, 2013",ASTANA,TEAM RADIOSHACK,,RADIOSHACK-NISSAN,RADIOSHACK LEOPARD,TREK FACTORY RACING,TREK FACTORY RACING,TREK - SEGAFREDO,,,
Samuel DUMOULIN,Samuel,DUMOULIN,FRA,FRA0101,"Tour de France, 2016","COFIDIS, LE CREDIT EN LIGNE","COFIDIS, LE CREDIT EN LIGNE","COFIDIS, LE CREDIT EN LIGNE","COFIDIS, LE CREDIT EN LIGNE",AG2R LA MONDIALE,AG2R LA MONDIALE,,AG2R LA MONDIALE,,,
Cyril LEMOINE,Cyril,LEMOINE,FRA,FRA0102,"Vuelta a España, 2015",SKIL-SHIMANO,,,SAUR - SOJASUN,SOJASUN,"COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS",,
Marcin SAPA,Marcin,SAPA,POL,POL0018,"Tour de France, 2009",LAMPRE - N.G.C,,,,,,,,,,
Dmitriy MURAVYEV,Dmitriy,MURAVYEV,KAZ,KAZ0011,"Tour de France, 2013",ASTANA,TEAM RADIOSHACK,TEAM RADIOSHACK,,ASTANA PRO TEAM,,,,,,
Niki TERPSTRA,Niki,TERPSTRA,NED,NED0052,"Vuelta a España, 2017",TEAM MILRAM,TEAM MILRAM,QUICKSTEP CYCLING TEAM,OMEGA PHARMA-QUICKSTEP,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,ETIXX - QUICK STEP,ETIXX - QUICK STEP,QUICK - STEP FLOORS,QUICK - STEP FLOORS,
Steven DE JONGH,Steven,DE JONGH,NED,NED0053,"Tour de France, 2009",QUICK STEP,,,,,,,,,,
Jonathan HIVERT,Jonathan,HIVERT,FRA,FRA0103,"Tour de France, 2013",SKIL-SHIMANO,,SAUR - SOJASUN,,SOJASUN,,,,,,
Andreas KLIER,Andreas,KLIER,GER,GER0047,"Vuelta a España, 2011",CERVELO TEST TEAM,CERVELO TEST TEAM,TEAM GARMIN-CERVELO,,,,,,,,
Yauheni HUTAROVICH,Yauheni,HUTAROVICH,BLR,BLR0006,"Vuelta a España, 2014",FRANÇAISE DES JEUX,FDJ,,FDJ-BIG MAT,,AG2R LA MONDIALE,,,,,
Mikel ASTARLOZA CHAURREAU,Mikel,ASTARLOZA CHAURREAU,ESP,ESP0090,"Tour de France, 2013",EUSKALTEL - EUSKADI,,,EUSKALTEL - EUSKADI,EUSKALTEL EUSKADI,,,,,,
Carlos BARREDO LLAMAZALES,Carlos,BARREDO LLAMAZALES,ESP,ESP0091,"Tour de France, 2011",QUICK STEP,QUICK STEP,RABOBANK CYCLING TEAM,,,,,,,,
Vladimir EFIMKIN,Vladimir,EFIMKIN,RUS,RUS0043,"Tour de France, 2009",AG2R LA MONDIALE,,,,,,,,,,
José Angel GOMEZ MARCHANTE,José Angel,GOMEZ MARCHANTE,ESP,ESP0092,"Vuelta a España, 2010",CERVELO TEST TEAM,ANDALUCIA - CAJASUR,,,,,,,,,
David LE LAY,David,LE LAY,FRA,FRA0104,"Vuelta a España, 2011",AGRITUBEL,AG2R LA MONDIALE,AG2R LA MONDIALE,,,,,,,,
Eduardo GONZALO RAMIREZ,Eduardo,GONZALO RAMIREZ,ESP,ESP0093,"Tour de France, 2009",AGRITUBEL,,,,,,,,,,
Jérôme COPPEL,Jérôme,COPPEL,FRA,FRA0105,"Vuelta a España, 2014",FRANÇAISE DES JEUX,,SAUR - SOJASUN,SAUR - SOJASUN,"COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS",IAM CYCLING,IAM CYCLING,,,
Jurgen VAN DE WALLE,Jurgen,VAN DE WALLE,BEL,BEL0064,"Vuelta a España, 2013",QUICK STEP,QUICK STEP,OMEGA PHARMA-LOTTO,,LOTTO BELISOL,,,,,,
Sebastien JOLY,Sebastien,JOLY,FRA,FRA0106,"Tour de France, 2009",FRANÇAISE DES JEUX,,,,,,,,,,
Kurt-Asle ARVESEN,Kurt-Asle,ARVESEN,NOR,NOR0008,"Vuelta a España, 2011",TEAM SAXO BANK,,SKY PROCYCLING,,,,,,,,
Angelo FURLAN,Angelo,FURLAN,ITA,ITA0181,"Vuelta a España, 2010",LAMPRE - N.G.C,LAMPRE-FARNESE VINI,,,,,,,,,
Piet ROOIJAKKERS,Piet,ROOIJAKKERS,NED,NED0054,"Tour de France, 2009",SKIL-SHIMANO,,,,,,,,,,
Alan PEREZ LEZAUN,Alan,PEREZ LEZAUN,ESP,ESP0094,"Tour de France, 2011",EUSKALTEL - EUSKADI,EUSKALTEL - EUSKADI,EUSKALTEL-EUSKADI,,,,,,,,
Peter WROLICH,Peter,WROLICH,AUT,AUT0015,"Tour de France, 2009",TEAM MILRAM,,,,,,,,,,
Kenny VAN HUMMEL,Kenny,VAN HUMMEL,NED,NED0055,"Tour de France, 2012",SKIL-SHIMANO,,,VACANSOLEIL-DCM PRO CYCLING TEAM,,,,,,,
Oscar PEREIRO SIO,Oscar,PEREIRO SIO,ESP,ESP0095,"Tour de France, 2009",CAISSE D'EPARGNE,,,,,,,,,,
Kevin DE WEERT,Kevin,DE WEERT,BEL,BEL0065,"Vuelta a España, 2013",QUICK STEP,QUICK STEP,QUICKSTEP CYCLING TEAM,OMEGA PHARMA-QUICKSTEP,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,,,,,,
Julien EL FARES,Julien,EL FARES,FRA,FRA0107,"Vuelta a España, 2009","COFIDIS, LE CREDIT EN LIGNE","COFIDIS, LE CREDIT EN LIGNE","COFIDIS, LE CREDIT EN LIGNE",,SOJASUN,,,,,,
Mario AERTS,Mario,AERTS,BEL,BEL0066,"Tour de France, 2010",,OMEGA PHARMA-LOTTO,,,,,,,,,
Cyril GAUTIER,Cyril,GAUTIER,FRA,FRA0108,"Tour de France, 2017",,BBOX BOUYGUES TELECOM,TEAM EUROPCAR,TEAM EUROPCAR,TEAM EUROPCAR,TEAM EUROPCAR,TEAM EUROPCAR,AG2R LA MONDIALE,AG2R LA MONDIALE,,
Jacobus (Koos) MOERENHOUT,Jacobus (Koos),MOERENHOUT,NED,NED0056,"Vuelta a España, 2009",RABOBANK,RABOBANK,,,,,,,,,
Martin ELMIGER,Martin,ELMIGER,SUI,SUI0023,"Tour de France, 2016",,AG2R LA MONDIALE,,,,IAM CYCLING,IAM CYCLING,IAM CYCLING,,,
Imanol ERVITI,Imanol,ERVITI,ESP,ESP0096,"Vuelta a España, 2009",CAISSE D'EPARGNE,CAISSE D'EPARGNE,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM,MOVISTAR TEAM
Remy DI GREGORIO,Remy,DI GREGORIO,FRA,FRA0109,"Vuelta a España, 2009",FRANÇAISE DES JEUX,FDJ,PRO TEAM ASTANA,"COFIDIS, LE CREDIT EN LIGNE",,,,,,,
Arkaitz DURAN AROCA,Arkaitz,DURAN AROCA,ESP,ESP0097,"Vuelta a España, 2009",FUJI-SERVETTO,FOOTON-SERVETTO,,,,,,,,,
Aitor PEREZ ARRIETA,Aitor,PEREZ ARRIETA,ESP,ESP0098,"Vuelta a España, 2011",CONTENTPOLIS-AMPO,FOOTON-SERVETTO,LAMPRE - ISD,,,,,,,,
Benjamin NOVAL GONZALEZ,Benjamin,NOVAL GONZALEZ,ESP,ESP0099,"Vuelta a España, 2012",,ASTANA,SAXO BANK SUNGARD,TEAM SAXO BANK-TINKOFF BANK,Team SAXO-TINKOFF,,,,,,
Alexandr PLIUSHKIN,Alexandr,PLIUSHKIN,MDA,MDA0001,"Tour de France, 2010",,TEAM KATUSHA,,,,,,,,,
David DE LA FUENTE RASILLA,David,DE LA FUENTE RASILLA,ESP,ESP0100,"Vuelta a España, 2012",FUJI-SERVETTO,ASTANA,GEOX-TMC,CAJA RURAL,,,,,,,
Sébastien TURGOT,Sébastien,TURGOT,FRA,FRA0110,"Vuelta a España, 2014",,BBOX BOUYGUES TELECOM,TEAM EUROPCAR,,,AG2R LA MONDIALE,,,,,
Lars BOOM,Lars,BOOM,NED,NED0057,"Vuelta a España, 2018",RABOBANK,RABOBANK,RABOBANK CYCLING TEAM,RABOBANK CYCLING TEAM,BELKIN-PRO CYCLING TEAM,BELKIN-PRO CYCLING TEAM,ASTANA PRO TEAM,,,TEAM LOTTO NL - JUMBO,
Maxim IGLINSKIY,Maxim,IGLINSKIY,KAZ,KAZ0012,"Vuelta a España, 2013",ASTANA,ASTANA,PRO TEAM ASTANA,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,,,,,
José Alberto BENÍTEZ,José Alberto,BENÍTEZ,ESP,ESP0101,"Vuelta a España, 2011",,FOOTON-SERVETTO,ANDALUCIA CAJA GRANADA,,,,,,,,
Wesley SULZBERGER,Wesley,SULZBERGER,AUS,AUS0045,"Vuelta a España, 2013",FRANÇAISE DES JEUX,FDJ,,ORICA GreenEDGE,ORICA GreenEDGE,,,,,,
Dimitri CHAMPION,Dimitri,CHAMPION,FRA,FRA0111,"Vuelta a España, 2011",,AG2R LA MONDIALE,AG2R LA MONDIALE,,,,,,,,
Mirco LORENZETTO,Mirco,LORENZETTO,ITA,ITA0182,"Tour de France, 2010",,LAMPRE-FARNESE VINI,,,,,,,,,
Yannick TALABARDON,Yannick,TALABARDON,FRA,FRA0112,"Tour de France, 2011",,,SAUR - SOJASUN,,,,,,,,
Tony GALLOPIN,Tony,GALLOPIN,FRA,FRA0113,"Vuelta a España, 2018",,"COFIDIS, LE CREDIT EN LIGNE","COFIDIS, LE CREDIT EN LIGNE",RADIOSHACK-NISSAN,RADIOSHACK LEOPARD,LOTTO BELISOL,LOTTO SOUDAL,LOTTO SOUDAL,LOTTO SOUDAL,AG2R LA MONDIALE,AG2R LA MONDIALE
Arthur VICHOT,Arthur,VICHOT,FRA,FRA0114,"Vuelta a España, 2010",,FDJ,FDJ,FDJ-BIG MAT,FDJ.fr,FDJ.fr,,FDJ,,GROUPAMA - FDJ,
Dmitriy FOFONOV,Dmitriy,FOFONOV,KAZ,KAZ0013,"Vuelta a España, 2010",,ASTANA,PRO TEAM ASTANA,ASTANA PRO TEAM,,,,,,,
Tristan VALENTIN,Tristan,VALENTIN,FRA,FRA0115,"Tour de France, 2011",,,"COFIDIS, LE CREDIT EN LIGNE",,,,,,,,
Laurent MANGEL,Laurent,MANGEL,FRA,FRA0116,"Vuelta a España, 2014",,,SAUR - SOJASUN,,FDJ.fr,FDJ.fr,,,,,
Fabrice JEANDESBOZ,Fabrice,JEANDESBOZ,FRA,FRA0117,"Vuelta a España, 2015",,,SAUR - SOJASUN,SAUR - SOJASUN,,,TEAM EUROPCAR,DIRECT ENERGIE,,,
Lieuwe WESTRA,Lieuwe,WESTRA,NED,NED0058,"Vuelta a España, 2009",VACANSOLEIL PRO CYCLING TEAM,,VACANSOLEIL-DCM PRO CYCLING TEAM,VACANSOLEIL-DCM PRO CYCLING TEAM,VACANSOLEIL-DCM PRO CYCLING TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,,,,
Anthony DELAPLACE,Anthony,DELAPLACE,FRA,FRA0118,"Tour de France, 2019",,,SAUR - SOJASUN,SAUR - SOJASUN,SOJASUN,BRETAGNE - SECHE ENVIRONNEMENT,BRETAGNE-SECHE ENVIRONNEMENT,FORTUNEO - VITAL CONCEPT,,,TEAM ARKEA - SAMSIC
Jérémie GALLAND,Jérémie,GALLAND,FRA,FRA0119,"Tour de France, 2011",,,SAUR - SOJASUN,,,,,,,,
Romain ZINGLE,Romain,ZINGLE,BEL,BEL0067,"Vuelta a España, 2014",,"COFIDIS, LE CREDIT EN LIGNE","COFIDIS, LE CREDIT EN LIGNE","COFIDIS, LE CREDIT EN LIGNE","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS",,,,,
Denys KOSTYUK,Denys,KOSTYUK,UKR,UKR0007,"Vuelta a España, 2012",,,LAMPRE - ISD,LAMPRE - ISD,,,,,,,
Vincent JEROME,Vincent,JEROME,FRA,FRA0120,"Vuelta a España, 2014",BBOX BOUYGUES TELECOM,BBOX BOUYGUES TELECOM,TEAM EUROPCAR,TEAM EUROPCAR,,TEAM EUROPCAR,,,,,
Jimmy ENGOULVENT,Jimmy,ENGOULVENT,FRA,FRA0121,"Vuelta a España, 2015",,,SAUR - SOJASUN,SAUR - SOJASUN,,TEAM EUROPCAR,TEAM EUROPCAR,,,,
Björn LEUKEMANS,Björn,LEUKEMANS,BEL,BEL0068,"Vuelta a España, 2009",VACANSOLEIL PRO CYCLING TEAM,,VACANSOLEIL-DCM PRO CYCLING TEAM,,,,,,,,
Denis GALIMZYANOV,Denis,GALIMZYANOV,RUS,RUS0044,"Vuelta a España, 2010",,TEAM KATUSHA,KATUSHA TEAM,,,,,,,,
Peter SAGAN,Peter,SAGAN,SVK,SVK0003,"Vuelta a España, 2011",,,LIQUIGAS-CANNONDALE,LIQUIGAS-CANNONDALE,CANNONDALE PRO CYCLING,CANNONDALE,TINKOFF - SAXO,TINKOFF,,BORA - HANSGROHE,BORA - HANSGROHE
Dominik NERZ,Dominik,NERZ,GER,GER0048,"Vuelta a España, 2014",,,LIQUIGAS-CANNONDALE,LIQUIGAS-CANNONDALE,BMC RACING TEAM,BMC RACING TEAM,BORA-ARGON 18,,,,
Guillaume LEVARLET,Guillaume,LEVARLET,FRA,FRA0122,"Vuelta a España, 2014",,,,SAUR - SOJASUN,"COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS",,,,,
Andrey KASHECHKIN,Andrey,KASHECHKIN,KAZ,KAZ0014,"Vuelta a España, 2011",,LAMPRE-FARNESE VINI,PRO TEAM ASTANA,ASTANA PRO TEAM,ASTANA PRO TEAM,,,,,,
Julien SIMON,Julien,SIMON,FRA,FRA0123,"Tour de France, 2019",,,,SAUR - SOJASUN,SOJASUN,"COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS",,"COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS"
Kris BOECKMANS,Kris,BOECKMANS,BEL,BEL0069,"Vuelta a España, 2015",,,,VACANSOLEIL-DCM PRO CYCLING TEAM,VACANSOLEIL-DCM PRO CYCLING TEAM,,LOTTO SOUDAL,,,,
Nick NUYENS,Nick,NUYENS,BEL,BEL0070,"Vuelta a España, 2013",,RABOBANK,SAXO BANK SUNGARD,TEAM SAXO BANK-TINKOFF BANK,GARMIN SHARP,,,,,,
Nicolas EDET,Nicolas,EDET,FRA,FRA0124,"Vuelta a España, 2019",,,"COFIDIS, LE CREDIT EN LIGNE","COFIDIS, LE CREDIT EN LIGNE","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS"
Luis Angel MATE MARDONES,Luis Angel,MATE MARDONES,ESP,ESP0102,"Vuelta a España, 2019",,,"COFIDIS, LE CREDIT EN LIGNE","COFIDIS, LE CREDIT EN LIGNE","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS"
Jean Marc MARINO,Jean Marc,MARINO,FRA,FRA0125,"Tour de France, 2014",,,,SAUR - SOJASUN,SOJASUN,CANNONDALE,,,,,
Jonathan CANTWELL,Jonathan,CANTWELL,AUS,AUS0046,"Tour de France, 2012",,,,TEAM SAXO BANK-TINKOFF BANK,,,,,,,
Yann HUGUET,Yann,HUGUET,FRA,FRA0126,"Tour de France, 2012",,,,TEAM ARGOS - SHIMANO,,,,,,,
Sebastian LANGEVELD,Sebastian,LANGEVELD,NED,NED0059,"Vuelta a España, 2018",,RABOBANK,,ORICA GreenEDGE,,GARMIN SHARP,TEAM CANNONDALE - GARMIN,CANNONDALE-DRAPAC PRO CYCLING TEAM,,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,EF EDUCATION FIRST
Jan GHYSELINCK,Jan,GHYSELINCK,BEL,BEL0071,"Tour de France, 2012",,,,"COFIDIS, LE CREDIT EN LIGNE",,,,,,,
Giovanni BERNAUDEAU,Giovanni,BERNAUDEAU,FRA,FRA0127,"Vuelta a España, 2009",BBOX BOUYGUES TELECOM,,,TEAM EUROPCAR,,,,,,,
Andrew TALANSKY,Andrew,TALANSKY,USA,USA0035,"Vuelta a España, 2016",,,TEAM GARMIN-CERVELO,GARMIN - SHARP,GARMIN SHARP,GARMIN SHARP,TEAM CANNONDALE - GARMIN,CANNONDALE-DRAPAC PRO CYCLING TEAM,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,,
Romain BARDET,Romain,BARDET,FRA,FRA0128,"Tour de France, 2019",,,,,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE
Egoitz GARCIA ETXEGIBEL,Egoitz,GARCIA ETXEGIBEL,ESP,ESP0103,"Vuelta a España, 2012",,,,"COFIDIS, LE CREDIT EN LIGNE","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS",,,,,
David VEILLEUX,David,VEILLEUX,CAN,CAN0009,"Tour de France, 2013",,,,,TEAM EUROPCAR,,,,,,
Sep VANMARCKE,Sep,VANMARCKE,BEL,BEL0072,"Vuelta a España, 2011",,,TEAM GARMIN-CERVELO,,BELKIN-PRO CYCLING TEAM,BELKIN-PRO CYCLING TEAM,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,
Jerome COUSIN,Jerome,COUSIN,FRA,FRA0129,"Vuelta a España, 2015",,,,,TEAM EUROPCAR,TEAM EUROPCAR,TEAM EUROPCAR,"COFIDIS, SOLUTIONS CREDITS",,DIRECT ENERGIE,
Assan BAZAYEV,Assan,BAZAYEV,KAZ,KAZ0015,"Vuelta a España, 2012",ASTANA,ASTANA,,ASTANA PRO TEAM,ASTANA PRO TEAM,,,,,,
Yoann BAGOT,Yoann,BAGOT,FRA,FRA0130,"Vuelta a España, 2016",,,"COFIDIS, LE CREDIT EN LIGNE","COFIDIS, LE CREDIT EN LIGNE","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS",,,
Florian GUILLOU,Florian,GUILLOU,FRA,FRA0131,"Tour de France, 2014",,,,,,BRETAGNE - SECHE ENVIRONNEMENT,,,,,
Matthew BUSCHE,Matthew,BUSCHE,USA,USA0036,"Vuelta a España, 2013",,,TEAM RADIOSHACK,,RADIOSHACK LEOPARD,TREK FACTORY RACING,,,,,
Florian VACHON,Florian,VACHON,FRA,FRA0132,"Tour de France, 2019",,,,,,BRETAGNE - SECHE ENVIRONNEMENT,BRETAGNE-SECHE ENVIRONNEMENT,FORTUNEO - VITAL CONCEPT,FORTUNEO - OSCARO,TEAM FORTUNEO - SAMSIC,TEAM ARKEA - SAMSIC
Bryan COQUARD,Bryan,COQUARD,FRA,FRA0133,"Tour de France, 2016",,,,,,TEAM EUROPCAR,TEAM EUROPCAR,DIRECT ENERGIE,,,
Jean Marc BIDEAU,Jean Marc,BIDEAU,FRA,FRA0134,"Tour de France, 2014",,,,,,BRETAGNE - SECHE ENVIRONNEMENT,,,,,
Arnaud GERARD,Arnaud,GERARD,FRA,FRA0135,"Vuelta a España, 2009",FRANÇAISE DES JEUX,,,,,BRETAGNE - SECHE ENVIRONNEMENT,BRETAGNE-SECHE ENVIRONNEMENT,,,,
Armindo FONSECA,Armindo,FONSECA,FRA,FRA0136,"Tour de France, 2016",,,,,,BRETAGNE - SECHE ENVIRONNEMENT,BRETAGNE-SECHE ENVIRONNEMENT,FORTUNEO - VITAL CONCEPT,,,
Benoit JARRIER,Benoit,JARRIER,FRA,FRA0137,"Tour de France, 2014",,,,,,BRETAGNE - SECHE ENVIRONNEMENT,,,,,
Adrien PETIT,Adrien,PETIT,FRA,FRA0138,"Vuelta a España, 2013",,,,,"COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS",,DIRECT ENERGIE,DIRECT ENERGIE,,
Warren BARGUIL,Warren,BARGUIL,FRA,FRA0139,"Vuelta a España, 2014",,,,,TEAM ARGOS-SHIMANO,TEAM GIANT-SHIMANO,TEAM GIANT - ALPECIN,TEAM GIANT - ALPECIN,TEAM SUNWEB,TEAM FORTUNEO - SAMSIC,TEAM ARKEA - SAMSIC
Pierre Luc PERICHON,Pierre Luc,PERICHON,FRA,FRA0140,"Tour de France, 2019",,,,,,,BRETAGNE-SECHE ENVIRONNEMENT,FORTUNEO - VITAL CONCEPT,FORTUNEO - OSCARO,,"COFIDIS, SOLUTIONS CREDITS"
Emanuel BUCHMANN,Emanuel,BUCHMANN,GER,GER0049,"Vuelta a España, 2018",,,,,,,BORA-ARGON 18,BORA-ARGON 18,BORA - HANSGROHE,BORA - HANSGROHE,BORA - HANSGROHE
Reinardt JANSE VAN RENSBURG,Reinardt,JANSE VAN RENSBURG,RSA,RSA0010,"Vuelta a España, 2013",,,,,TEAM ARGOS-SHIMANO,,MTN - QHUBEKA,TEAM DIMENSION DATA,TEAM DIMENSION DATA,TEAM DIMENSION DATA,TEAM DIMENSION DATA
Christophe LAPORTE,Christophe,LAPORTE,FRA,FRA0141,"Tour de France, 2018",,,,,,,"COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS",
Luke ROWE,Luke,ROWE,GBR,GBR0020,"Vuelta a España, 2014",,,,,SKY PROCYCLING,TEAM SKY,TEAM SKY,TEAM SKY,TEAM SKY,TEAM SKY,
Frédéric BRUN,Frédéric,BRUN,FRA,FRA0142,"Tour de France, 2015",,,,,,,BRETAGNE-SECHE ENVIRONNEMENT,,,,
Bryan NAULEAU,Bryan,NAULEAU,FRA,FRA0143,"Vuelta a España, 2016",,,,,,TEAM EUROPCAR,TEAM EUROPCAR,DIRECT ENERGIE,,,
Kenneth VANBILSEN,Kenneth,VANBILSEN,BEL,BEL0073,"Vuelta a España, 2018",,,,,,,"COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS","COFIDIS, SOLUTIONS CREDITS",
Michael Valgren HUNDAHL,Michael Valgren,HUNDAHL,DEN,DEN0020,"Vuelta a España, 2014",,,,,,TINKOFF-SAXO,TINKOFF - SAXO,TINKOFF,ASTANA PRO TEAM,ASTANA PRO TEAM,TEAM DIMENSION DATA
Louis MEINTJES,Louis,MEINTJES,RSA,RSA0011,"Vuelta a España, 2019",,,,,,MTN - QHUBEKA,MTN - QHUBEKA,LAMPRE - MERIDA,UAE TEAM EMIRATES,TEAM DIMENSION DATA,TEAM DIMENSION DATA
Julian ALAPHILIPPE,Julian,ALAPHILIPPE,FRA,FRA0144,"Vuelta a España, 2017",,,,,,,,ETIXX - QUICK STEP,QUICK - STEP FLOORS,QUICK - STEP FLOORS,DECEUNINCK  -  QUICK - STEP
Oliver NAESEN,Oliver,NAESEN,BEL,BEL0074,"Tour de France, 2019",,,,,,,,IAM CYCLING,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE
Antoine DUCHESNE,Antoine,DUCHESNE,CAN,CAN0010,"Vuelta a España, 2018",,,,,,,TEAM EUROPCAR,DIRECT ENERGIE,,GROUPAMA - FDJ,
Timo ROOSEN,Timo,ROOSEN,NED,NED0060,"Vuelta a España, 2015",,,,,,,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,,TEAM LOTTO NL - JUMBO,
G Lawson CRADDOCK,G Lawson,CRADDOCK,USA,USA0037,"Vuelta a España, 2019",,,,,,TEAM GIANT-SHIMANO,TEAM GIANT - ALPECIN,CANNONDALE-DRAPAC PRO CYCLING TEAM,,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,EF EDUCATION FIRST
Sondre HOLST ENGER,Sondre,HOLST ENGER,NOR,NOR0009,"Tour de France, 2016",,,,,,,,IAM CYCLING,,,
Alexis GOUGEARD,Alexis,GOUGEARD,FRA,FRA0145,"Vuelta a España, 2017",,,,,,,AG2R LA MONDIALE,AG2R LA MONDIALE,AG2R LA MONDIALE,,AG2R LA MONDIALE
Dylan GROENEWEGEN,Dylan,GROENEWEGEN,NED,NED0061,"Tour de France, 2019",,,,,,,,TEAM LOTTO NL - JUMBO,TEAM LOTTO NL - JUMBO,,TEAM JUMBO - VISMA
Vegard BREEN,Vegard,BREEN,NOR,NOR0010,"Vuelta a España, 2014",,,,,,LOTTO BELISOL,,FORTUNEO - VITAL CONCEPT,,,
Daniel MCLAY,Daniel,MCLAY,GBR,GBR0021,"Tour de France, 2016",,,,,,,,FORTUNEO - VITAL CONCEPT,,,
Shane ARCHBOLD,Shane,ARCHBOLD,NZL,NZL0008,"Vuelta a España, 2019",,,,,,,,BORA-ARGON 18,,,BORA - HANSGROHE
Edward THEUNS,Edward,THEUNS,BEL,BEL0075,"Vuelta a España, 2019",,,,,,,,TREK - SEGAFREDO,TREK - SEGAFREDO,TEAM SUNWEB,TREK - SEGAFREDO
Tiesj BENOOT,Tiesj,BENOOT,BEL,BEL0076,"Vuelta a España, 2018",,,,,,,,,LOTTO SOUDAL,LOTTO SOUDAL,LOTTO SOUDAL
Guillaume MARTIN,Guillaume,MARTIN,FRA,FRA0146,"Tour de France, 2019",,,,,,,,,WANTY - GROUPE GOBERT,WANTY - GROUPE GOBERT,WANTY - GOBERT CYCLING TEAM
