Full Name,First Name,Last Name,Country,ID,Source,Team_2009,Team_2010,Team_2011,Team_2012,Team_2013,Team_2014,Team_2015,Team_2016,Team_2017,Team_2018,Team_2019
Philip DEIGNAN,Philip,DEIGNAN,IRL,IRL0001,"Vuelta a España, 2010",CERVELO TEST TEAM,CERVELO TEST TEAM,TEAM RADIOSHACK,,,TEAM SKY,,TEAM SKY,TEAM SKY,,
Arnold JEANNESSON,Arnold,JEANNESSON,FRA,FRA0001,"Vuelta a España, 2012",CAISSE D'EPARGNE,CAISSE D'EPARGNE,FDJ,FDJ-BIG MAT,FDJ,FDJ.fr,,"COFIDIS, SOLUTIONS CREDITS",,,
Francesco BELLOTTI,Francesco,BELLOTTI,ITA,ITA0014,"Vuelta a España, 2011",BARLOWORLD,LIQUIGAS-DOIMO,LIQUIGAS-CANNONDALE,,,,,,,,
Dario CATALDO,Dario,CATALDO,ITA,ITA0015,"Vuelta a España, 2018",QUICK STEP,QUICK STEP,QUICKSTEP CYCLING TEAM,OMEGA PHARMA-QUICKSTEP,SKY PROCYCLING,TEAM SKY,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM
Enrico GASPAROTTO,Enrico,GASPAROTTO,ITA,ITA0016,"Vuelta a España, 2011",LAMPRE - N.G.C,ASTANA,PRO TEAM ASTANA,ASTANA PRO TEAM,ASTANA PRO TEAM,ASTANA PRO TEAM,,,BAHRAIN - MERIDA,,TEAM DIMENSION DATA
Valerio AGNOLI,Valerio,AGNOLI,ITA,ITA0017,"Giro d'Italia, 2019",LIQUIGAS,LIQUIGAS-DOIMO,LIQUIGAS-CANNONDALE,LIQUIGAS-CANNONDALE,ASTANA PRO TEAM,ASTANA PRO TEAM,,ASTANA PRO TEAM,BAHRAIN - MERIDA,,BAHRAIN - MERIDA
Kjell CARLSTRÖM,Kjell,CARLSTRÖM,FIN,FIN0001,"Vuelta a España, 2010",LIQUIGAS,SKY PROFESSIONAL CYCLING TEAM,SKY PROCYCLING,,,,,,,,
Jason MCCARTNEY,Jason,MCCARTNEY,USA,USA0002,"Giro d'Italia, 2009",TEAM SAXO BANK,,,,,,,,,,
Blaise SONNERY,Blaise,SONNERY,FRA,FRA0002,"Giro d'Italia, 2009",AG2R LA MONDIALE,,,,,,,,,,
Nikita ESKOV,Nikita,ESKOV,RUS,RUS0005,"Giro d'Italia, 2009",TEAM KATUSHA,,,,,,,,,,
Félix Rafael CARDENAS RAVELO,Félix Rafael,CARDENAS RAVELO,COL,COL0003,"Giro d'Italia, 2009",BARLOWORLD,,,,,,,,,,
